Sun Jan  8 12:11:03 2023    profile_job

         97828 function calls (96635 primitive calls) in 55.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:615(__init__)
      337    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x55a6bd00bfc0}
      214    0.001    0.000    0.001    0.000 {method 'extend' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/traceback.py:468(__init__)
       83    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/random.py:1(<module>)
      463    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/base64.py:3(<module>)
       76    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_compile.py:276(_optimize_charset)
     3567    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        7    0.000    0.000    0.001    0.000 job_center.py:42(add_client)
       62    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/traceback.py:321(extract)
        9    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:351(register)
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
      212    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/string.py:67(__init__)
      995    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       55    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/typing.py:656(__init__)
        7    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:239(connection_made)
      110    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/random.py:250(_randbelow_with_getrandbits)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/logging/__init__.py:413(PercentStyle)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:1(<module>)
