Sun Jan  8 12:27:56 2023    profile_job_2

         96311 function calls (95118 primitive calls) in 57.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       19    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_compile.py:536(_compile_info)
      272    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:506(_check_closed)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      207    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:188(_drain_helper)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/opcode.py:2(<module>)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        3    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:195(_set_nodelay)
      470    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        6    0.000    0.000    0.000    0.000 {method '_accept' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:980(communicate)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      366    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       10    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:180(get_key)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
        5    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/tasks.py:653(ensure_future)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/candidknots/lib/python3.8/site-packages/heapq_max/__init__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:288(eof_received)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/tokenize.py:388(open)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/threading.py:1(<module>)
      222    0.000    0.000    0.000    0.000 {method 'cancelled' of '_asyncio.Future' objects}
        3    0.000    0.000    0.000    0.000 job_center.py:42(add_client)
     1477    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      414    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        3    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:88(factory)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/events.py:756(new_event_loop)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/unix_events.py:57(close)
       21    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:119(__prepare__)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_futures.py:1(<module>)
      207    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:434(exception)
      207    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:679(is_closing)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     1081    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        2    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:355(serve_forever)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/events.py:650(new_event_loop)
      102    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/uuid.py:231(__eq__)
        5    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:365(unregister)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:87(close)
        3    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/tasks.py:376(create_task)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/unix_events.py:53(__init__)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/struct.py:3(<module>)
      207    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:458(_maybe_resume_transport)
        2    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/tasks.py:717(gather)
